filetype	column	name	datatype	nulls	qtype	use	bool	utc	note
AnalyticDataDynamics	oms_root_order_id	id	varchar(100)	0	*	1	0	0	
AnalyticDataDynamics	strategy_name	strategy_name	varchar(50)	1	s	1	0	0	
AnalyticDataDynamics	strategy_description	strategy_description	varchar(200)	1	s	1	0	0	
AnalyticDataDynamics	child_count	child_count	number(38,0)	1	j	1	0	0	
AnalyticDataDynamics	market_session	market_session	varchar(50)	1	s	1	0	0	
AnalyticDataDynamics	strategy_category	strategy_category	varchar(50)	1	s	1	0	0	
AnalyticDataDynamics	strategy_purpose	strategy_purpose	varchar(200)	1	s	1	0	0	
AnalyticDataDynamics	strategy_provider	strategy_provider	varchar(50)	1	s	1	0	0	
AnalyticDataDynamics	relative_index_arrival_last	relative_index_arrival_last	number(28,14)	1	f	1	0	0	
AnalyticDataDynamics	relative_index_last	relative_index_last	number(28,14)	1	f	1	0	0	
AnalyticDataDynamics	relative_index_pnc	relative_index_pnc	number(28,14)	1	f	1	0	0	
AnalyticDataDynamics	closing_auction_qty	closing_auction_qty	number(10,0)	1	j	1	0	0	
AnalyticDataDynamics	opening_auction_qty	opening_auction_qty	number(10,0)	1	j	1	0	0	
AnalyticDataDynamics	ignore_derived_limit	ignore_derived_limit	boolean	1	s	1	1	0	True,False
AnalyticDataDynamics	is_nav_done	is_nav_done	boolean	1	s	1	1	0	True,False
AnalyticDataDynamics	nav_start_time_est	nav_start_time_est	time(6)	1	n	1	0	0	
AnalyticDataDynamics	nav_end_time_est	nav_end_time_est	time(6)	1	n	1	0	0	
AnalyticDataDynamics	avg_opening_auction_vol	avg_opening_auction_vol	number(10,0)	1	j	1	0	0	
AnalyticDataDynamics	avg_closing_auction_vol	avg_closing_auction_vol	number(10,0)	1	j	1	0	0	
AnalyticDataDynamics	etl_ts	etl_ts_analytic	timestamp_ntz(9)	1	p	1	0	1	Column also in order data dynamics
AnalyticDataDynamics	nav_algo_style	nav_algo_style	varchar(50)	1	s	1	0	0	
AnalyticLegDataDynamics	oms_root_order_id	id	varchar(100)	0	*	1	0	0	
AnalyticLegDataDynamics	bid_price	bid_price	number(28,14)	1	f	0	0	0	
AnalyticLegDataDynamics	ask_price	ask_price	number(28,14)	1	f	0	0	0	
AnalyticLegDataDynamics	last_price	last_price	number(28,14)	1	f	0	0	0	
