alg	name
Main	navid
Main	time
Main	event
Main	trigger
Main	pending
Main	bid
Main	bidsize
Main	ask
Main	asksize
Main	id
Main	account
Main	symbol
Main	side
Main	parentqty
Main	parentdone
Main	parentlimit
Main	parentwould
Main	openqty
Main	closeqty
Main	opening
Main	closing
Main	inopen
Main	inclose
Main	start
Main	end
Main	index
Main	rlimit
Main	rtype
Main	otc
Main	derivedlimit
Main	restrict
Main	restricted
Main	halted
Main	alg
Main	tags
Main	orderkey
Main	orderid
Main	reroute
Main	dest
Main	edge
Main	ordertype
Main	subtype
Main	qty
Main	done
Main	limit
Main	mic
Main	route
Main	limitflag
Main	timetofill
Main	targetfilltime
Main	minfill
Main	workingtype
Main	dtargetpov
Main	sizes
Main	dmaxsingleprice
Main	dpullback
Main	fillid
Main	fillqty
Main	fillprice
Main	ndo
Main	pick
Main	nav
CLOSE	navid
CLOSE	time
CLOSE	id
CLOSE	tradingurgency
CLOSE	maxpov
CLOSE	closetarget
CLOSE	closemax
CLOSE	closeq
CLOSE	closestyle
CLOSE	nav
DARK	navid
DARK	time
DARK	id
DARK	style
DARK	minfill
DARK	phase
DARK	nav
JACKSNIPE	navid
JACKSNIPE	time
JACKSNIPE	id
JACKSNIPE	style
JACKSNIPE	coactive
JACKSNIPE	daflag
JACKSNIPE	ndoflag
JACKSNIPE	targetrate
JACKSNIPE	phase
JACKSNIPE	cycleco
JACKSNIPE	cycleda
JACKSNIPE	phase3
JACKSNIPE	phase3reason
JACKSNIPE	reduce
JACKSNIPE	nav
PARTICIPATE	navid
PARTICIPATE	time
PARTICIPATE	id
PARTICIPATE	targetpov
PARTICIPATE	nav
RAVEN	navid
RAVEN	time
RAVEN	id
RAVEN	style
RAVEN	minfill
RAVEN	phase
RAVEN	nav
SMALLCAP	navid
SMALLCAP	time
SMALLCAP	id
SMALLCAP	style
SMALLCAP	minfill
SMALLCAP	phase
SMALLCAP	nav
TWAP	navid
TWAP	time
TWAP	id
TWAP	maxpov
TWAP	closetarget
TWAP	closeq
TWAP	nav
VWAP	navid
VWAP	time
VWAP	id
VWAP	tradingurgency
VWAP	curve
VWAP	maxpov
VWAP	closetarget
VWAP	closeq
VWAP	style
VWAP	nav
