filetype	tag	column	name	qtype	datatype	nulls	note
Orders	TradeDate	date_key	date_key	d	date	1	
Orders	Timestamp	ts	ts	p	timestamp_ntz(6)	1	
Orders	OmsRootOrderID	oms_root_order_id	oms_root_order_id	*	varchar(100)	1	
Orders	SystemRootOrderID	system_root_order_id	system_root_order_id	*	varchar(100)	1	
Orders	SystemConnection	system_connection	system_connection	s	varchar(100)	1	
Orders	System	system	system_group	s	varchar(100)	1	
Orders	SystemKey	system_key	system_key	s	varchar(100)	1	
Orders	SystemConnectionType	system_connection_type	system_connection_type	s	varchar(100)	1	Client, Internal, Market
Orders	SourceType	source_type	source_type	s	varchar(100)	1	CMPL, FCLT, FIX, OVERFILL, TSP
Orders	Route	route	route	s	varchar(100)	1	
Orders	RouteDark	route_dark	route_dark	s	boolean	1	True/False
Orders	SystemRouteGroup	system_route_group	system_route_group	*	varchar(100)	1	
Orders	ThreadName	thread_name	thread_name	*	varchar(100)	1	
Orders	RoutingAdapter	routing_adapter	routing_adapter	s	varchar(100)	1	
Orders	IsDirectedOrder	is_directed_order	is_directed_order	s	boolean	1	True/False
Orders	IsConditionalOrder	is_conditional_order	is_conditional_order	s	boolean	1	True/False
Orders	Account	account	account	s	varchar(100)	1	
Orders	SubAccount	sub_account	sub_account	s	varchar(100)	1	
Orders	UserID	user_id	user_id	s	varchar(100)	1	
Orders	BasketID	basket_id	basket_id	s	varchar(100)	1	(no values)
Orders	TradingSession	trading_session	trading_session	h	varchar(100)	1	1-5, 7
Orders	OrderDate	order_date	order_date	p	timestamp_ntz(6)	1	
Orders	Currency	currency	currency	s	varchar(50)	1	
Orders	MultiLegOrderType	multi_leg_order_type	multi_leg_order_type	s	varchar(100)	1	BuyWrite, OptionSpread, SingleLegged
Orders	PrimeCustodian	prime_custodian	prime_custodian	s	varchar(100)	1	
Orders	OmsDepth	oms_depth	oms_depth	j	number(38,0)	1	
Orders	SystemRootRouteGroup	system_root_route_group	system_root_route_group	*	varchar(100)	1	
