stream	table	stage	filetype	snow
0	order	order	OrderData	order_data
0	order	order1	OrderDataDynamics	order_data_dynamics
0	order	order2	AnalyticData	analytic_data
0	order	order3	AnalyticDataDynamics	analytic_data_dynamics
0	leg	leg	OrderLegData	order_leg_data
0	leg	leg1	OrderLegDataDynamics	order_leg_data_dynamics
0	leg	leg2	AnalyticLegData	analytic_leg_data
0	leg	leg3	AnalyticLegDataDynamics	analytic_leg_data_dynamics
0	history	history	OrderHistory	order_history
0	leghistory	leghistory	OrderLegHistory	order_leg_history
0	fill	fill	ExecutionData	executions
0	fill	fill1	ExecutionDataDynamics	execution_data_dynamics
0	strategy	strategy	AnalyticStrategyHistory	analytic_strategy_history
1	strategy	strategy	AnalyticStrategyHistory	analytic_streaming_strategy_history
1	fill	fill	Executions	analytic_streaming_executions
1	history	history	OrderHistory	analytic_streaming_order_history
1	order	order	Orders	analytic_streaming_orders
